,Return,Volatility,VGSH,AAPL,VOO,AMZN
1117,0.14693644422809693,0.17482865475519638,0.2519212120442353,0.07891858257820931,0.37324947603793074,0.2959107293396247
2189,0.1842839434541943,0.1748701874729896,0.36882236001742297,0.40277033300013826,0.13425884025327076,0.09414846672916789
2922,0.16131809885113185,0.1748901017088752,0.26214705045079584,0.198112742746566,0.3618556743618321,0.17788453244080596
1619,0.16241571597484017,0.17491818834573036,0.26580904341974126,0.2060045261026031,0.3514923190949718,0.17669411138268382
120,0.17693028926861493,0.17497227687577527,0.3268611650762551,0.3232619019005135,0.20364247789393397,0.1462344551292972
2100,0.17388582517651152,0.17498403357340173,0.3214201261857673,0.28654725399178427,0.19507839234111815,0.19695422748133018
80,0.182785856659927,0.17499871776675338,0.36618194017253014,0.42606445165059137,0.2000073104502958,0.007746297726582742
2682,0.15008149881999935,0.17501164000930808,0.2535765256813292,0.10079111872048303,0.36515713157433566,0.28047522402385217
2370,0.1726996921838839,0.17501338060443683,0.3901705210734548,0.2695555270588744,0.003902558093942033,0.33637139377372877
864,0.1538179935734581,0.1750348012030102,0.24487526988600627,0.13639763669186952,0.3994286879305327,0.2192984054915914
1636,0.16919193232604876,0.1750634098055492,0.2851017164690406,0.29049211980096745,0.35667069567478654,0.06773546805520532
1609,0.1348560523296166,0.17512348671895311,0.3952367554744483,0.02049578812384908,0.06058962813440949,0.523677828267293
1774,0.16770695007766873,0.17512767700594062,0.2820608795800072,0.2487153679172425,0.31306408883809705,0.15615966366465314
1384,0.16397243045259288,0.17514415553454138,0.2715293698033858,0.21419497119232817,0.33034699064655343,0.18392866835773267
814,0.14688693205680867,0.17515348250173107,0.3162660724121759,0.07536510517468213,0.2014629422684567,0.4069058801446852
1449,0.15917130243268324,0.17520867981679364,0.25679704989975366,0.1762109450778263,0.3664845278653041,0.20050747715711612
2247,0.16055714780890984,0.1752684056159003,0.2869841521225573,0.17222207533927472,0.26365240299919335,0.2771413695389746
2669,0.15367736843634464,0.17526945073299002,0.3010782860113896,0.11936229574339403,0.22704630336841877,0.3525131148767976
1515,0.14583277192192673,0.17532957291612267,0.27206346838353845,0.06545427869810594,0.31268916948076264,0.34979308343759297
144,0.1353947600374222,0.17539328255072237,0.18536230166484094,0.0452225191129855,0.6382582119959542,0.13115696722621925
214,0.1577245595261588,0.17544608087589122,0.2841154704327744,0.14921165449317303,0.2688958682266384,0.2977770068474141
571,0.15953911978294408,0.17554485618745713,0.24587715732532328,0.22487575819300087,0.4723782352094109,0.056868849272264974
592,0.17411115324706808,0.17556711804121955,0.340212061838443,0.2766513866760108,0.12678852615577826,0.25634802532976786
2521,0.14002868194633347,0.17556869720689916,0.2665030316847545,0.026152569506838808,0.3359044849609088,0.37143991384749797
2648,0.18533819697114437,0.17558315093207158,0.36899727147319655,0.4149040729346504,0.14066250545182424,0.07543615014032867
2621,0.17140060123716783,0.1755896773193093,0.37624684905108147,0.2545467070338507,0.03136731301043287,0.3378391309046351
852,0.18218515240623429,0.1756481844412744,0.3743981606187195,0.3496043127396763,0.05705040702261336,0.21894711961899094
2990,0.1773803284136662,0.17565689274632587,0.3605260293855589,0.3036246743474359,0.0774679341714161,0.2583813620955892
290,0.16591528204489256,0.17568296621358803,0.31938633686976786,0.20814964717464,0.17109661659451272,0.30136739936107926
1557,0.1447702020325353,0.17572184474091762,0.32964789004772155,0.061888195946636804,0.17152686292084016,0.43693705108480146
1094,0.1795121586892229,0.17572418122309036,0.36477099275196195,0.32310439293637844,0.07178875880447594,0.24033585550718373
569,0.14018904773610735,0.17575115736474994,0.2437545772373821,0.028343882211655846,0.39636556857515504,0.331535971975807
178,0.15461765693765497,0.17576087421219394,0.23031320707533465,0.19674285867448443,0.5289162822285993,0.04402765202158151
2545,0.15716278725702665,0.17577499514412503,0.24767689383764455,0.1583350153764609,0.3858865680101088,0.2081015227757858
2415,0.17738669693979783,0.17577798748707105,0.3186252796076549,0.3335103148719337,0.23637208701314566,0.11149231850726579
